tick,v0,g0,v1,g1,v2,g2,v3,g3,spikes
115,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.49650920238568,-27.94400123262341,-51.32944929048897,66.05427394172222,0000
116,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.50541536498235,-26.84830127196408,-50.69186334141392,63.46424881408120,0000
117,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.50354603871097,-25.79556432128297,-50.08588319761488,60.97578002430457,0000
118,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.49142747968557,-24.78410577686314,-49.51020384990159,58.58488549142702,0000
119,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.46956427696115,-23.81230708924419,-48.96357211322905,56.28773927411124,0000
120,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.43844021238249,-22.87861317319782,-48.44478458813614,54.08066544832553,0000
121,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.39851908661538,-21.98152991925968,-47.95268570218239,51.96013222508111,0000
122,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.35024551268776,-21.11962180283552,-47.48616582824500,49.92274629881624,0000
123,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.29404567831531,-20.29150958705552,-47.04415947666213,47.96524741738337,0000
124,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.23032807823675,-19.49586811570106,-46.62564355832598,46.08450316495018,0000
